GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G220","2011-2015","Louisiana","22","220","Louisiana",4625253,0
"G230","2011-2015","Maine","23","230","Maine",1329100,0
"G240","2011-2015","Maryland","24","240","Maryland",5930538,0
"G250","2011-2015","Massachusetts","25","250","Massachusetts",6705586,0
"G260","2011-2015","Michigan","26","260","Michigan",9900571,0
"G270","2011-2015","Minnesota","27","270","Minnesota",5419171,0
"G280","2011-2015","Mississippi","28","280","Mississippi",2988081,0
"G290","2011-2015","Missouri","29","290","Missouri",6045448,0
"G300","2011-2015","Montana","30","300","Montana",1014699,0
"G310","2011-2015","Nebraska","31","310","Nebraska",1869365,0
"G320","2011-2015","Nevada","32","320","Nevada",2798636,0
"G330","2011-2015","New Hampshire","33","330","New Hampshire",1324201,0
"G340","2011-2015","New Jersey","34","340","New Jersey",8904413,0
"G350","2011-2015","New Mexico","35","350","New Mexico",2084117,0
"G360","2011-2015","New York","36","360","New York",19673174,0
"G370","2011-2015","North Carolina","37","370","North Carolina",9845333,0
"G380","2011-2015","North Dakota","38","380","North Dakota",721640,0
"G390","2011-2015","Ohio","39","390","Ohio",11575977,0
"G400","2011-2015","Oklahoma","40","400","Oklahoma",3849733,0
"G410","2011-2015","Oregon","41","410","Oregon",3939233,0
"G420","2011-2015","Pennsylvania","42","420","Pennsylvania",12779559,0
"G440","2011-2015","Rhode Island","44","440","Rhode Island",1053661,0
"G450","2011-2015","South Carolina","45","450","South Carolina",4777576,0
"G460","2011-2015","South Dakota","46","460","South Dakota",843190,0
"G470","2011-2015","Tennessee","47","470","Tennessee",6499615,0
"G480","2011-2015","Texas","48","480","Texas",26538614,0
"G490","2011-2015","Utah","49","490","Utah",2903379,0
"G500","2011-2015","Vermont","50","500","Vermont",626604,0
"G510","2011-2015","Virginia","51","510","Virginia",8256630,0
"G530","2011-2015","Washington","53","530","Washington",6985464,0
"G540","2011-2015","West Virginia","54","540","West Virginia",1851420,0
"G550","2011-2015","Wisconsin","55","550","Wisconsin",5742117,0
"G560","2011-2015","Wyoming","56","560","Wyoming",579679,0
"G720","2011-2015","Puerto Rico","72","720","Puerto Rico",3583073,0
"G010","2012-2016","Alabama","01","010","Alabama",4841164,0
"G020","2012-2016","Alaska","02","020","Alaska",736855,0
