GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "27029","Clearwater, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",7959,8047,8172,8492,8500,8389,8549,8683,8768,8728,8697,8763,8751,8709,8684,8699,8725,8576,8530,8484,8319,8324,8290,8291,8402,8493,8530,8546,8606,8597,8526,8389,8384,8441,8424,8466,8471,8476,8541,8603,8645,8705,8723,8679,8784,8787,8794,8838,8842,8815,8843,9017
 "27029","Clearwater, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2230,2484,2606,2816,3395,3636,3790,4022,4400,4981,5603,6149,6844,7340,7816,9368,9295,9819,9523,10985,11523,11778,12401,13104,13592,14128,14913,16040,16547,17533,18577,21157,21424,22200,22780,23530,23694,24568,25669,28012,29084,30770,32845,34253,35468,37632,38989,39285,40971,43596,44428,49654
 "27031","Cook, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10430,11486,12866,14242,15681,17589,20490,22776,25125,28256,31836,36986,40346,42393,44727,49108,50977,51970,53076,56554,62703,67806,70739,81001,88408,96736,104592,110747,117431,125338,134818,143074,153699,158389,159575,168232,173388,174492,181076,186868,198348,210400,226306,238726,235705,243703,256788,266820,278041,293681,292580,304542
 "27031","Cook, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3167,3437,3486,3644,3564,3488,3602,4036,4129,3685,4070,4102,4137,4104,4106,4058,4014,3975,3891,3841,3848,3876,3988,4132,4344,4498,4682,4802,4935,4985,5037,5178,5155,5164,5172,5180,5158,5210,5217,5255,5203,5161,5210,5181,5188,5246,5249,5346,5413,5413,5416,5417
 "27031","Cook, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3293,3342,3691,3908,4400,5043,5689,5643,6085,7668,7822,9017,9752,10330,10893,12102,12700,13074,13641,14724,16295,17494,17738,19603,20352,21506,22339,23063,23796,25143,26766,27631,29816,30672,30854,32477,33615,33492,34709,35560,38122,40767,43437,46077,45433,46455,48921,49910,51365,54255,54021,56220
 "27033","Cottonwood, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",47471,54802,56226,65725,87342,91258,91058,83782,118988,124479,126549,140393,155890,158597,148933,180053,235982,188847,205180,184964,209498,207308,201177,214253,190592,242995,228869,268279,263395,279346,281240,295467,296842,308276,331414,375089,365620,365690,385586,424456,405535,427644,480344,519625,512312,500031,504086,466065,498967,521125,508877,631013
 "27033","Cottonwood, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14376,14883,14840,14497,14837,14880,15063,14975,15080,15065,15192,14814,14626,14484,14353,14157,13954,13636,13419,13190,12928,12652,12486,12575,12592,12605,12563,12476,12357,12290,12250,12167,12140,12104,12096,12151,11967,11789,11748,11701,11632,11715,11716,11578,11558,11513,11431,11382,11263,11274,11232,11242
 "27033","Cottonwood, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3302,3682,3789,4534,5887,6133,6045,5595,7890,8263,8330,9477,10658,10950,10376,12718,16911,13849,15290,14023,16205,16385,16112,17038,15136,19278,18218,21504,21315,22730,22958,24284,24452,25469,27399,30869,30552,31020,32821,36275,34864,36504,40999,44880,44325,43432,44098,40948,44301,46224,45306,56130
 "27035","Crow Wing, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",95097,105311,116399,129734,145965,163766,184804,207921,231351,261061,293820,326257,365900,404613,434128,483875,511446,534675,552703,599182,659247,697514,736828,794123,856425,910236,968679,1045073,1105058,1175925,1225864,1321168,1467255,1527345,1599822,1697835,1747712,1866086,1968510,2043787,2050240,2133164,2206990,2299224,2346444,2509681,2608802,2678283,2804831,2885719,3002255,3222590
 "27035","Crow Wing, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",33692,35125,36350,37541,37922,38019,38716,38815,39551,40182,40870,41723,41634,41723,41812,42209,42369,42438,42457,43092,43790,44474,45587,46911,48273,49388,50437,51606,52339,53177,54173,55184,55973,57013,58023,58814,59606,60654,61484,62178,62307,62608,62679,62813,63008,63121,63255,63757,64324,64957,65191,65644
 "27035","Crow Wing, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2823,2998,3202,3456,3849,4307,4773,5357,5849,6497,7189,7820,8788,9698,10383,11464,12071,12599,13018,13905,15055,15684,16163,16928,17741,18430,19206,20251,21113,22113,22629,23941,26214,26789,27572,28868,29321,30766,32017,32870,32905,34072,35211,36604,37240,39760,41243,42008,43605,44425,46053,49092
 "27037","Dakota, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",584492,625816,687383,761376,880851,999502,1120683,1260107,1450515,1673371,1957579,2232714,2525236,2770283,3023432,3503454,3869490,4157038,4603970,5143810,5732672,6176078,6527798,7156990,7581718,8188989,8754205,9510828,10279391,11389112,12077684,13109309,13944134,14361027,15076840,15838386,16189118,16762134,17743747,18302176,17476937,17981491,19402529,20121465,20638738,21766875,22699711,23458255,24595372,25757570,26616193,27958762
 "27037","Dakota, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",128666,140804,144211,150428,158962,165930,166898,175760,179885,184526,190573,195537,200120,204814,207632,213995,221244,228968,241271,255030,265585,277866,286916,296694,305852,311008,319218,328159,335640,343231,350520,357848,363602,368252,372265,377143,381829,386228,390767,393900,396906,399214,401804,404669,407974,411821,414245,417783,421840,425472,429453,431807
 "27037","Dakota, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4543,4445,4767,5061,5541,6024,6715,7169,8064,9068,10272,11418,12619,13526,14561,16372,17490,18156,19082,20169,21585,22227,22752,24122,24789,26330,27424,28982,30626,33182,34456,36634,38350,38998,40500,41996,42399,43400,45407,46464,44033,45042,48289,49723,50588,52855,54798,56149,58305,60539,61977,64748
 "27039","Dodge, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",42520,45424,47973,53960,69736,71012,74747,75995,102783,119349,117526,130382,141315,151850,146751,184112,191815,203738,219745,224886,255379,268358,272622,285424,281989,320787,321788,357527,377604,413363,438037,471304,501837,545746,578242,598506,608650,636396,681832,728705,707685,749532,829160,900935,897997,851010,864676,861098,908547,951924,975723,1082622
 "27039","Dodge, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",13540,13064,13157,13395,13453,13316,13543,13662,13867,14212,14544,14796,14859,15052,15251,15271,15249,15231,15206,15384,15490,15813,15998,16206,16435,16541,16679,16801,17047,17146,17387,17857,18118,18529,18802,19162,19391,19601,19613,19876,19921,20157,20204,20273,20341,20390,20417,20558,20708,20804,20976,20987
